tag,step,wall_time,value
Episode_Reward/action_rate_l2,51000,1785316166.6002269,-0.005800972692668438
Episode_Reward/action_rate_l2,51001,1785316167.6267605,-0.009876827709376812
Episode_Reward/action_rate_l2,51002,1785316168.5777454,-0.013039704412221909
Episode_Reward/action_rate_l2,51003,1785316169.5395596,-0.01742512360215187
Episode_Reward/action_rate_l2,51004,1785316170.4967916,-0.021451545879244804
Episode_Reward/action_rate_l2,51005,1785316171.4653008,-0.024225961416959763
Episode_Reward/action_rate_l2,51006,1785316172.4278686,-0.026785103604197502
Episode_Reward/action_rate_l2,51007,1785316173.3479078,-0.03106452338397503
Episode_Reward/action_rate_l2,51008,1785316174.298756,-0.0339014008641243
Episode_Reward/action_rate_l2,51009,1785316175.2644484,-0.037766728550195694
Episode_Reward/action_rate_l2,51010,1785316176.2302315,-0.041360579431056976
Episode_Reward/action_rate_l2,51011,1785316177.1966934,-0.043985337018966675
Episode_Reward/action_rate_l2,51012,1785316178.1627376,-0.048022471368312836
Episode_Reward/action_rate_l2,51013,1785316179.098726,-0.050903283059597015
Episode_Reward/action_rate_l2,51014,1785316180.0578687,-0.05463101714849472
Episode_Reward/action_rate_l2,51015,1785316181.0002387,-0.05902567133307457
Episode_Reward/action_rate_l2,51016,1785316181.946426,-0.06299212574958801
Episode_Reward/action_rate_l2,51017,1785316182.898813,-0.06429730355739594
Episode_Reward/action_rate_l2,51018,1785316183.8427365,-0.06868284940719604
Episode_Reward/action_rate_l2,51019,1785316184.786349,-0.07363761961460114
Episode_Reward/action_rate_l2,51020,1785316185.7388725,-0.07648451626300812
Episode_Reward/action_rate_l2,51021,1785316186.6570935,-0.07903924584388733
Episode_Reward/action_rate_l2,51022,1785316187.6263654,-0.08145953714847565
Episode_Reward/action_rate_l2,51023,1785316188.572835,-0.08748555183410645
Episode_Reward/action_rate_l2,51024,1785316189.528617,-0.0893353521823883
Episode_Reward/action_rate_l2,51025,1785316190.4842398,-0.09236444532871246
Episode_Reward/action_rate_l2,51026,1785316191.4361637,-0.0947413370013237
Episode_Reward/action_rate_l2,51027,1785316192.3634202,-0.0972515270113945
Episode_Reward/action_rate_l2,51028,1785316193.3253734,-0.10450774431228638
Episode_Reward/action_rate_l2,51029,1785316194.2598958,-0.10632088035345078
Episode_Reward/action_rate_l2,51030,1785316195.2057228,-0.10845585912466049
Episode_Reward/action_rate_l2,51031,1785316196.1312146,-0.11416816711425781
Episode_Reward/action_rate_l2,51032,1785316197.0877616,-0.11791501939296722
Episode_Reward/action_rate_l2,51033,1785316198.0202227,-0.12094711512327194
Episode_Reward/action_rate_l2,51034,1785316198.9519262,-0.12751904129981995
Episode_Reward/action_rate_l2,51035,1785316199.898843,-0.12831279635429382
Episode_Reward/action_rate_l2,51036,1785316200.8247278,-0.13081473112106323
Episode_Reward/action_rate_l2,51037,1785316201.7867694,-0.13343536853790283
Episode_Reward/action_rate_l2,51038,1785316202.7511225,-0.13588938117027283
Episode_Reward/action_rate_l2,51039,1785316203.7013805,-0.14199455082416534
Episode_Reward/action_rate_l2,51040,1785316204.6556506,-0.14761826395988464
Episode_Reward/action_rate_l2,51041,1785316205.596426,-0.1514236479997635
Episode_Reward/action_rate_l2,51042,1785316206.5602076,-0.15328659117221832
Episode_Reward/action_rate_l2,51043,1785316207.5167952,-0.15980826318264008
Episode_Reward/action_rate_l2,51044,1785316208.4664593,-0.16075433790683746
Episode_Reward/action_rate_l2,51045,1785316209.3949387,-0.16084828972816467
Episode_Reward/action_rate_l2,51046,1785316210.3340054,-0.16872072219848633
Episode_Reward/action_rate_l2,51047,1785316211.2806294,-0.16953866183757782
Episode_Reward/action_rate_l2,51048,1785316212.211605,-0.17564933001995087
Episode_Reward/action_rate_l2,51049,1785316213.1422844,-0.18059509992599487
Episode_Reward/action_rate_l2,51050,1785316214.0562942,-0.17940568923950195
Episode_Reward/action_rate_l2,51051,1785316215.0101175,-0.18419550359249115
Episode_Reward/action_rate_l2,51052,1785316215.965198,-0.18803340196609497
Episode_Reward/action_rate_l2,51053,1785316216.913691,-0.19061800837516785
Episode_Reward/action_rate_l2,51054,1785316217.8615923,-0.1974414587020874
Episode_Reward/action_rate_l2,51055,1785316218.808931,-0.19919320940971375
Episode_Reward/action_rate_l2,51056,1785316219.7613504,-0.20372259616851807
Episode_Reward/action_rate_l2,51057,1785316220.7091374,-0.20975267887115479
Episode_Reward/action_rate_l2,51058,1785316221.6765368,-0.20868979394435883
Episode_Reward/action_rate_l2,51059,1785316222.6275253,-0.21271876990795135
Episode_Reward/action_rate_l2,51060,1785316223.6107085,-0.21755310893058777
Episode_Reward/action_rate_l2,51061,1785316224.5191944,-0.21649721264839172
Episode_Reward/action_rate_l2,51062,1785316225.4313982,-0.22227787971496582
Episode_Reward/action_rate_l2,51063,1785316226.359361,-0.23116227984428406
Episode_Reward/action_rate_l2,51064,1785316227.3164594,-0.23279663920402527
Episode_Reward/action_rate_l2,51065,1785316228.2789607,-0.23409919440746307
Episode_Reward/action_rate_l2,51066,1785316229.2493906,-0.23784542083740234
Episode_Reward/action_rate_l2,51067,1785316230.1938953,-0.24071061611175537
Episode_Reward/action_rate_l2,51068,1785316231.154999,-0.24361252784729004
Episode_Reward/action_rate_l2,51069,1785316232.1178653,-0.24737422168254852
Episode_Reward/action_rate_l2,51070,1785316233.102356,-0.2514003813266754
Episode_Reward/action_rate_l2,51071,1785316234.027528,-0.2538207769393921
Episode_Reward/action_rate_l2,51072,1785316234.9699464,-0.261186420917511
Episode_Reward/action_rate_l2,51073,1785316235.9077873,-0.2626502513885498
Episode_Reward/action_rate_l2,51074,1785316236.8550262,-0.26880353689193726
Episode_Reward/action_rate_l2,51075,1785316237.8104033,-0.2695995569229126
Episode_Reward/action_rate_l2,51076,1785316238.747038,-0.27198705077171326
Episode_Reward/action_rate_l2,51077,1785316239.687198,-0.2783327102661133
Episode_Reward/action_rate_l2,51078,1785316240.6438198,-0.27997922897338867
Episode_Reward/action_rate_l2,51079,1785316241.5880713,-0.286432683467865
Episode_Reward/action_rate_l2,51080,1785316242.5369527,-0.2891044318675995
Episode_Reward/action_rate_l2,51081,1785316243.4625764,-0.29317086935043335
Episode_Reward/action_rate_l2,51082,1785316244.4196439,-0.29895979166030884
Episode_Reward/action_rate_l2,51083,1785316245.396194,-0.3009902238845825
Episode_Reward/action_rate_l2,51084,1785316246.346,-0.29552844166755676
Episode_Reward/action_rate_l2,51085,1785316247.299762,-0.2976265251636505
Episode_Reward/action_rate_l2,51086,1785316248.2408514,-0.29602429270744324
Episode_Reward/action_rate_l2,51087,1785316249.2170231,-0.29879847168922424
Episode_Reward/action_rate_l2,51088,1785316250.1754122,-0.2983287572860718
Episode_Reward/action_rate_l2,51089,1785316251.1291428,-0.2978042960166931
Episode_Reward/action_rate_l2,51090,1785316252.0480247,-0.2966313064098358
Episode_Reward/action_rate_l2,51091,1785316253.0208404,-0.2956851124763489
Episode_Reward/action_rate_l2,51092,1785316253.9839208,-0.29352739453315735
Episode_Reward/action_rate_l2,51093,1785316254.9308624,-0.2939450144767761
Episode_Reward/action_rate_l2,51094,1785316255.8902633,-0.2934798002243042
Episode_Reward/action_rate_l2,51095,1785316256.8593454,-0.29915010929107666
Episode_Reward/action_rate_l2,51096,1785316257.8111959,-0.2941436171531677
Episode_Reward/action_rate_l2,51097,1785316258.7489953,-0.2930009067058563
Episode_Reward/action_rate_l2,51098,1785316259.6931517,-0.29908066987991333
Episode_Reward/action_rate_l2,51099,1785316260.638513,-0.2964952886104584
Episode_Reward/action_rate_l2,51100,1785316261.5799873,-0.29496943950653076
Episode_Reward/action_rate_l2,51101,1785316262.5209718,-0.29683971405029297
Episode_Reward/action_rate_l2,51102,1785316263.4656117,-0.29860734939575195
Episode_Reward/action_rate_l2,51103,1785316264.430133,-0.29995906352996826
Episode_Reward/action_rate_l2,51104,1785316265.3548234,-0.2975040078163147
Episode_Reward/action_rate_l2,51105,1785316266.2945187,-0.2993546724319458
Episode_Reward/action_rate_l2,51106,1785316267.244807,-0.29385998845100403
Episode_Reward/action_rate_l2,51107,1785316268.1957872,-0.2964223027229309
Episode_Reward/action_rate_l2,51108,1785316269.1626377,-0.2973034381866455
Episode_Reward/action_rate_l2,51109,1785316270.1126554,-0.29398125410079956
Episode_Reward/action_rate_l2,51110,1785316271.0360005,-0.2946137487888336
Episode_Reward/action_rate_l2,51111,1785316272.0001297,-0.29843834042549133
Episode_Reward/action_rate_l2,51112,1785316272.9612024,-0.2939152717590332
Episode_Reward/action_rate_l2,51113,1785316273.9028711,-0.29373598098754883
Episode_Reward/action_rate_l2,51114,1785316274.8089185,-0.29440996050834656
Episode_Reward/action_rate_l2,51115,1785316275.7665925,-0.2956545352935791
Episode_Reward/action_rate_l2,51116,1785316276.7244127,-0.29866284132003784
Episode_Reward/action_rate_l2,51117,1785316277.6795433,-0.30208486318588257
Episode_Reward/action_rate_l2,51118,1785316278.625324,-0.2932399809360504
Episode_Reward/action_rate_l2,51119,1785316279.572617,-0.29702723026275635
Episode_Reward/action_rate_l2,51120,1785316280.5195036,-0.29351377487182617
Episode_Reward/action_rate_l2,51121,1785316281.475852,-0.29818496108055115
Episode_Reward/action_rate_l2,51122,1785316282.4290805,-0.2950977683067322
Episode_Reward/action_rate_l2,51123,1785316283.3963397,-0.29721230268478394
Episode_Reward/action_rate_l2,51124,1785316284.3607166,-0.2977158725261688
Episode_Reward/action_rate_l2,51125,1785316285.3216105,-0.2968449592590332
Episode_Reward/action_rate_l2,51126,1785316286.270633,-0.2978992164134979
Episode_Reward/action_rate_l2,51127,1785316287.2246668,-0.29961681365966797
Episode_Reward/action_rate_l2,51128,1785316288.163944,-0.2969821095466614
Episode_Reward/action_rate_l2,51129,1785316289.1023772,-0.29354190826416016
Episode_Reward/action_rate_l2,51130,1785316290.0383499,-0.29755789041519165
Episode_Reward/action_rate_l2,51131,1785316290.9750097,-0.29640746116638184
Episode_Reward/action_rate_l2,51132,1785316291.9310527,-0.2971001863479614
Episode_Reward/action_rate_l2,51133,1785316292.8438563,-0.2959173321723938
Episode_Reward/action_rate_l2,51134,1785316293.8054078,-0.29421907663345337
Episode_Reward/action_rate_l2,51135,1785316294.7841368,-0.29928144812583923
Episode_Reward/action_rate_l2,51136,1785316295.770709,-0.29868313670158386
Episode_Reward/action_rate_l2,51137,1785316296.7464345,-0.2995760142803192
Episode_Reward/action_rate_l2,51138,1785316297.716411,-0.29717904329299927
Episode_Reward/action_rate_l2,51139,1785316298.6542258,-0.295714795589447
Episode_Reward/action_rate_l2,51140,1785316299.6236467,-0.298195481300354
Episode_Reward/action_rate_l2,51141,1785316300.608085,-0.2973613739013672
Episode_Reward/action_rate_l2,51142,1785316301.5650568,-0.2974390387535095
Episode_Reward/action_rate_l2,51143,1785316302.5201294,-0.3011484146118164
Episode_Reward/action_rate_l2,51144,1785316303.4534624,-0.2980257272720337
Episode_Reward/action_rate_l2,51145,1785316304.3889883,-0.2964000105857849
Episode_Reward/action_rate_l2,51146,1785316305.352464,-0.29567956924438477
Episode_Reward/action_rate_l2,51147,1785316306.295798,-0.2969018518924713
Episode_Reward/action_rate_l2,51148,1785316307.2385375,-0.2956729829311371
Episode_Reward/action_rate_l2,51149,1785316308.1981995,-0.2952539920806885
Episode_Reward/action_rate_l2,51150,1785316309.157489,-0.29521340131759644
Episode_Reward/action_rate_l2,51151,1785316310.1044838,-0.2959885001182556
Episode_Reward/action_rate_l2,51152,1785316311.0348487,-0.2929845452308655
Episode_Reward/action_rate_l2,51153,1785316311.9819605,-0.298010915517807
Episode_Reward/action_rate_l2,51154,1785316312.953193,-0.2956080436706543
Episode_Reward/action_rate_l2,51155,1785316313.892156,-0.29914960265159607
Episode_Reward/action_rate_l2,51156,1785316314.8604126,-0.2965836524963379
Episode_Reward/action_rate_l2,51157,1785316315.8027647,-0.29507943987846375
Episode_Reward/action_rate_l2,51158,1785316316.747246,-0.2993146479129791
Episode_Reward/action_rate_l2,51159,1785316317.7198803,-0.2956477999687195
Episode_Reward/action_rate_l2,51160,1785316318.686338,-0.2960672974586487
Episode_Reward/action_rate_l2,51161,1785316319.6283312,-0.29923492670059204
Episode_Reward/action_rate_l2,51162,1785316320.562184,-0.29849040508270264
Episode_Reward/action_rate_l2,51163,1785316321.5373147,-0.29437845945358276
Episode_Reward/action_rate_l2,51164,1785316322.4865272,-0.29961156845092773
Episode_Reward/action_rate_l2,51165,1785316323.4208367,-0.2960229218006134
Episode_Reward/action_rate_l2,51166,1785316324.3866327,-0.3007376194000244
Episode_Reward/action_rate_l2,51167,1785316325.3410728,-0.29778075218200684
Episode_Reward/action_rate_l2,51168,1785316326.301498,-0.2962782382965088
Episode_Reward/action_rate_l2,51169,1785316327.2445796,-0.29370009899139404
Episode_Reward/action_rate_l2,51170,1785316328.202151,-0.29486244916915894
Episode_Reward/action_rate_l2,51171,1785316329.1504016,-0.2973284125328064
Episode_Reward/action_rate_l2,51172,1785316330.1276484,-0.29723072052001953
Episode_Reward/action_rate_l2,51173,1785316331.0626643,-0.29646679759025574
Episode_Reward/action_rate_l2,51174,1785316332.006231,-0.29434412717819214
Episode_Reward/action_rate_l2,51175,1785316332.9600143,-0.2983596920967102
Episode_Reward/action_rate_l2,51176,1785316333.910839,-0.29787540435791016
Episode_Reward/action_rate_l2,51177,1785316334.8801208,-0.2989523112773895
Episode_Reward/action_rate_l2,51178,1785316335.8228714,-0.2977554202079773
Episode_Reward/action_rate_l2,51179,1785316336.7765744,-0.2969018518924713
Episode_Reward/action_rate_l2,51180,1785316337.7104392,-0.296377569437027
Episode_Reward/action_rate_l2,51181,1785316338.652728,-0.2960684299468994
Episode_Reward/action_rate_l2,51182,1785316339.6090584,-0.29915851354599
Episode_Reward/action_rate_l2,51183,1785316340.5519314,-0.3005290627479553
Episode_Reward/action_rate_l2,51184,1785316341.5158904,-0.29659903049468994
Episode_Reward/action_rate_l2,51185,1785316342.459715,-0.30121490359306335
Episode_Reward/action_rate_l2,51186,1785316343.4376678,-0.29839199781417847
Episode_Reward/action_rate_l2,51187,1785316344.3844032,-0.29709935188293457
Episode_Reward/action_rate_l2,51188,1785316345.3224716,-0.29993736743927
Episode_Reward/action_rate_l2,51189,1785316346.280631,-0.2979238033294678
Episode_Reward/action_rate_l2,51190,1785316347.2617433,-0.2961929142475128
Episode_Reward/action_rate_l2,51191,1785316348.2226584,-0.2982943654060364
Episode_Reward/action_rate_l2,51192,1785316349.194671,-0.29459017515182495
